pubchem_cid,MOL_ID,molecule_ID,molecule_name,tpsa,rbn,inchikey,ob,dl,bbb,caco2,mw,hdon,hacc,alogp,halflife,FASA,smiles
,MOL000001,1,anthocyanidin,74.82,1,YLJQHJNWIHUOKW-UHFFFAOYSA-N,45.5973916475,0.18968,-3.14159,-3.14159,251.22,2.0,4.0,1.51,1.830779,0.31907761,
,MOL000002,2,cyanidol,114.29,1,GFZJRQMBETXFQO-UHFFFAOYSA-N,1.3646428372,0.24431,-0.512,0.16978,287.26,5.0,6.0,1.666,,0.34187388,C1=CC(=C(C=C1C2=C(C=C3C(=CC(=C[C]3O)O)O2)O)O)O
6251.0,MOL000003,3,MTL,121.38,5,FBPFZTCFMRRESA-KVTDHHQDSA-N,17.7345429325,0.033683,-4.07164,-1.57836,182.2,6.0,6.0,-2.94,,0.18464184,C(C(C(C(C(CO)O)O)O)O)O
11250133.0,MOL000004,4,Procyanidin B1,220.76,3,XFZJEEAOWLFHDH-UKWJTHFESA-N,67.873461738,0.65629,-1.96821,-0.98412,578.56,10.0,12.0,3.362,3.300768,0.31987154,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O
9808627.0,MOL000005,5,"(2R,3R,4R)-4-[(2R,3R)-2-(3,5-dihydroxy-4-methoxyphenyl)-3,5,7-trihydroxychroman-8-yl]-2-(4-hydroxyphenyl)chroman-3,5,7-triol",209.76,4,JPFCOVZKLAXXOE-NFJBMHMQSA-N,40.1143722209,0.61475,-2.17402,-0.90058,592.59,9.0,12.0,3.613,2.658231,0.31492388,COC1=C(C=C(C=C1O)C2C(CC3=C(O2)C(=C(C=C3O)O)C4C(C(OC5=CC(=CC(=C45)O)O)C6=CC=C(C=C6)O)O)O)O
5280445.0,MOL000006,6,luteolin,111.13,1,IQPNAANSBPBGFQ-UHFFFAOYSA-N,36.1626293429,0.24552,-0.84349,0.185,286.25,4.0,6.0,2.067,15.944492,0.39326519,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O
5280704.0,MOL000007,7,Cosmetin,170.05,4,KMOUJOKENFFTPU-QNDFHXLGSA-N,9.67689435995,0.74097,-2.26149,-1.07822,432.41,6.0,10.0,0.43,,0.32339817,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O
5280443.0,MOL000008,8,apigenin,90.9,1,KZNIFHPLKGYRTM-UHFFFAOYSA-N,23.062161017,0.21306,-0.6109,0.4256,270.25,3.0,5.0,2.334,,0.40886214,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
5280637.0,MOL000009,9,luteolin-7-o-glucoside,190.28,4,PEFNSGRTCBGNAN-QNDFHXLGSA-N,7.29267735852,0.77998,-2.48723,-1.22694,448.41,7.0,11.0,0.162,,0.31502295,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O
5282150.0,MOL000010,10,Rhoifolin,228.97,6,RPMNUQRUHXIGHK-PYXJVEIZSA-N,6.68425485239,0.77338,-2.97856,-1.87388,578.57,8.0,14.0,-0.429,,0.28938365,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
442510.0,MOL000011,11,"(2R,3R)-3-(4-hydroxy-3-methoxy-phenyl)-5-methoxy-2-methylol-2,3-dihydropyrano[5,6-h][1,4]benzodioxin-9-one",107.59,4,OCBGWPJNUZMLCA-NVXWUHKLSA-N,68.8255990293,0.66236,-0.53013,0.21007,386.38,2.0,8.0,2.487,3.394639,0.25540102,COC1=C(C=CC(=C1)C2C(OC3=C4C(=CC(=C3O2)OC)C=CC(=O)O4)CO)O
10467.0,MOL000012,12,Arachic acid,37.3,18,VKOBVWXKNCXXDE-UHFFFAOYSA-N,16.6563562095,0.19499,1.08582,1.17971,312.6,1.0,2.0,8.192,,0.17879377,CCCCCCCCCCCCCCCCCCCC(=O)O
,MOL000013,13,glucocapparin,187.43,5,GCMQTANVAYTARN-BNDQYDCJSA-N,1.35912374495,0.14973,-2.92643,-1.77057,332.39,5.0,9.0,-2.563,,0.22983022,
,MOL000014,14,glucobrassicin,190.28,7,KLNCNAZXGUTZRZ-MEORUTFFSA-N,53.6401520197,0.47897,-1.93673,-1.28752,430.48,6.0,10.0,-1.157,4.193324,0.16837843,
,MOL000015,15,glucoiberin(e),236.07,9,PHYYADMVYQURSX-IRQZYMAESA-N,5.48995772233,0.25034,-4.05084,-2.29784,423.54,5.0,11.0,-2.332,,0.26486921,CS(=O)CCCC(=NOS(=O)(=O)O)SC1C(C(C(C(O1)CO)O)O)O
,MOL000016,16,glucoiberin(e)_qt,159.42,6,XYVRGTJMNMMIIR-ZDUSSCGKSA-N,17.6929398069,0.046614,-1.06069,-0.54493,261.38,1.0,6.0,-0.359,,0.28879929,
9576416.0,MOL000017,17,"beta-D-Glucopyranose, 1-thio-, 1-(1-methoxy-N-(sulfooxy)-1H-indole-3-ethanimidate)",213.95,8,PKKMITFKYRCCOL-JMZFCNQTSA-N,1.94315748578,0.55813,-1.66346,-1.27807,478.55,5.0,11.0,-0.04,,0.21518864,CON1C=C(C2=CC=CC=C21)CC(=NOS(=O)(=O)O)SC3C(C(C(C(O3)CO)O)O)O
6321405.0,MOL000018,18,(+/-)-Isoborneol,20.23,0,DTGKSKDOIYIVQL-MRTMQBJTSA-N,86.9841251754,0.05275,1.59796,1.27192,154.28,1.0,1.0,1.975,11.3626,0.0,CC1(C2CCC1(C(C2)O)C)C
92221.0,MOL000019,19,D-Camphene,0.0,0,CRPUJAZIXJMDBK-DTWKUNHWSA-N,34.9792102593,0.039017,2.18648,1.80598,136.26,0.0,0.0,2.927,11.2919,0.0,CC1(C2CCC(C2)C1=C)C
,MOL000020,20,"12-senecioyl-2E,8E,10E-atractylentriol",72.42,8,UJHAKGDWVZIMIT-PKPRIEKHSA-N,62.39646702,0.22294,-1.37414,0.0083,312.39,0.0,4.0,2.496,6.073759,0.11677162,CC(=CC(=O)OC(CCO)C=CC=CC#CC#CC=CCO)C
,MOL000021,21,"14-acetyl-12-senecioyl-2E,8E,10E-atractylentriol",75.66,10,CQDVFBMTEZFKKY-JAPNHWDDSA-N,60.312870701,0.30534,-1.08802,0.32888,355.44,0.0,5.0,3.209,5.315508,0.05468975,CC(=CC(=O)OC(CCOC(=O)C)C=CC=CC#CC#CC=CCO)C
,MOL000022,22,"14-acetyl-12-senecioyl-2E,8Z,10E-atractylentriol",72.83,10,CQDVFBMTEZFKKY-PUYRJQRLSA-N,63.3709182303,0.29956,-1.13888,0.42142,356.45,1.0,5.0,3.543,6.428948,0.0,CC(=CC(=O)OC(CCOC(=O)C)C=CC=CC#CC#CC=CCO)C
440917.0,MOL000023,23,Hemo-sol,0.0,1,XMGQYMWWDOXHJM-JTQLQIEISA-N,39.8409788472,0.02231,2.11692,1.82929,136.26,0.0,0.0,3.503,11.679068,0.0,CC1=CCC(CC1)C(=C)C
5281520.0,MOL000024,24,alpha-humulene,0.0,0,FAMPSKZZVDUYOS-HRGUGZIWSA-N,22.9768241266,0.061124,2.07698,1.87788,204.39,0.0,0.0,5.035,,0.0,CC1=CCC(C=CCC(=CCC1)C)(C)C
,MOL000025,25,α-Longipinene,0.0,0,HICYDYJTCDBHMZ-COMQUAJESA-N,53.2610838526,0.12477,2.13548,1.82854,204.39,0.0,0.0,4.123,12.061184,0.0,CC1=CCC2C3C1C2(CCCC3(C)C)C
5283650.0,MOL000026,26,stigmast-22E-en-3beta-ol,20.23,5,CSVWWLUMXNHWSU-OYQPQXIVSA-N,10.3924992061,0.75173,1.12713,1.42855,414.79,1.0,1.0,7.89,,0.0,CCC(C=CC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)C(C)C
442360.0,MOL000027,27,alpha-Curcumene,0.0,4,VMYXUZSZMNBRCN-CQSZACIVSA-N,4.67726525367,0.055937,1.99377,1.93318,202.37,0.0,0.0,5.337,,0.0,CC1=CC=C(C=C1)C(C)CCC=C(C)C
