molecule_ID,target_ID,target_name,drugbank_ID,SVM_score,RF_score,Gene Names
29,94,Prostaglandin G/H synthase 2,290,0.94857,0.718,PTGS2
29,141,Gamma-aminobutyric-acid receptor alpha-2 subunit,423,0.97388,0.708,
29,186,Sodium-dependent noradrenaline transporter,540,0.94731,0.718,SLC6A2
29,309,Gamma-aminobutyric acid receptor subunit alpha-1,872,0.97918,0.716,
29,3276,Nuclear receptor coactivator 2,6241,0.86428,0.704,NCOA2
34,141,Gamma-aminobutyric-acid receptor alpha-2 subunit,423,0.92098,0.714,
34,200,Gamma-aminobutyric-acid receptor alpha-3 subunit,580,0.9224,0.712,
34,210,Muscarinic acetylcholine receptor M2,617,0.88592,0.704,CHRM2
34,309,Gamma-aminobutyric acid receptor subunit alpha-1,872,0.9286,0.742,
34,581,"Neuronal acetylcholine receptor protein, alpha-7 chain",4095,0.86139,0.706,
34,3216,Glutamate receptor 2,921,0.83083,0.7,GRIA2
34,3284,Gamma-aminobutyric-acid receptor subunit alpha-6,841,0.87256,0.714,
34,181,Gamma-aminobutyric-acid receptor alpha-5 subunit,523,0.925847,0.722,
34,16,Muscarinic acetylcholine receptor M3,51,0.849558,0.74,CHRM3
34,38,Muscarinic acetylcholine receptor M1,103,0.860792,0.762,CHRM1
34,154,Muscarinic acetylcholine receptor M4,450,0.836762,0.704,CHRM4
34,175,5-hydroxytryptamine 2A receptor,502,0.863576,0.726,
34,186,Sodium-dependent noradrenaline transporter,540,0.801493,0.744,SLC6A2
34,261,Beta-2 adrenergic receptor,766,0.827023,0.718,ADRB2
34,290,Sodium-dependent serotonin transporter,824,0.842684,0.734,SLC6A4
12,6,Prostaglandin G/H synthase 1,20,0.91847,0.72,PTGS1
12,94,Prostaglandin G/H synthase 2,290,0.94513,0.812,PTGS2
12,123,Coagulation factor VII,369,0.81024,0.704,
12,229,"mRNA of Protein-tyrosine phosphatase, non-receptor type 1",687,0.9011,0.734,
12,444,Heat shock protein HSP 90,1939,0.96429,0.728,
12,491,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",2404,0.93276,0.726,
12,1201,Ig gamma-1 chain C region,4785,0.955918,0.7,
12,3276,Nuclear receptor coactivator 2,6241,0.873427,0.7,NCOA2
4,6,Prostaglandin G/H synthase 1,20,0.96163,0.782,PTGS1
4,70,Sodium channel protein type 5 subunit alpha,220,0.85476,0.736,SCN5A
4,94,Prostaglandin G/H synthase 2,290,0.96292,0.824,PTGS2
4,95,"Nitric-oxide synthase, endothelial",291,0.85227,0.752,
4,309,Gamma-aminobutyric acid receptor subunit alpha-1,872,0.84011,0.704,
4,444,Heat shock protein HSP 90,1939,0.9787,0.726,
4,491,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",2404,0.9504,0.736,
4,699,mRNA of PKA Catalytic Subunit C-alpha,6263,0.93805,0.714,
4,1201,Ig gamma-1 chain C region,4785,0.85619,0.708,
4,3276,Nuclear receptor coactivator 2,6241,0.84234,0.814,NCOA2
4,3586,cAMP-dependent protein kinase inhibitor alpha,6264,0.82849,0.716,PKIA
7,94,Prostaglandin G/H synthase 2,290,0.80219,0.704,PTGS2
7,3907,Calmodulin,465,0.816192,0.7,
18,1143,Cytochrome P450-cam,2298,0.92565,0.798,
18,141,Gamma-aminobutyric-acid receptor alpha-2 subunit,423,0.955653,0.714,
18,210,Muscarinic acetylcholine receptor M2,617,0.919123,0.7,CHRM2
18,309,Gamma-aminobutyric acid receptor subunit alpha-1,872,0.911672,0.746,
18,16,Muscarinic acetylcholine receptor M3,51,0.97269,0.728,CHRM3
18,38,Muscarinic acetylcholine receptor M1,103,0.970655,0.71,CHRM1
18,94,Prostaglandin G/H synthase 2,290,0.889333,0.716,PTGS2
18,181,Gamma-aminobutyric-acid receptor alpha-5 subunit,523,0.984184,0.708,
18,186,Sodium-dependent noradrenaline transporter,540,0.969915,0.7,SLC6A2
18,191,Alpha-1A adrenergic receptor,556,0.895085,0.716,ADRA1A
18,200,Gamma-aminobutyric-acid receptor alpha-3 subunit,580,0.976011,0.724,
18,3284,Gamma-aminobutyric-acid receptor subunit alpha-6,841,0.969568,0.722,
18,209,Progesterone receptor,614,0.901429,0.7,PGR
52,6,Prostaglandin G/H synthase 1,20,0.94828,0.718,PTGS1
52,28,"Nitric-oxide synthase, brain",76,0.96911,0.73,
52,92,"4-aminobutyrate aminotransferase, mitochondrial",280,0.98392,0.714,
52,94,Prostaglandin G/H synthase 2,290,0.93611,0.74,PTGS2
52,202,"Aspartate aminotransferase, cytoplasmic",586,0.95185,0.718,GOT1
52,229,"mRNA of Protein-tyrosine phosphatase, non-receptor type 1",687,0.85778,0.73,
52,288,Aldose reductase,822,0.96581,0.736,
52,293,"Arginase II, mitochondrial",834,0.9505,0.704,
52,295,Glutamate [NMDA] receptor subunit epsilon 1,837,0.86529,0.75,
52,309,Gamma-aminobutyric acid receptor subunit alpha-1,872,0.97064,0.718,
52,363,Cathepsin D,1243,0.97549,0.73,
52,521,Leukotriene A-4 hydrolase,3060,0.93409,0.71,
52,699,mRNA of PKA Catalytic Subunit C-alpha,6263,0.94982,0.706,
52,726,Alcohol dehydrogenase 1B,444,0.93844,0.714,
52,1161,Aspartate aminotransferase,2249,0.94182,0.748,
52,1306,Ferrichrome-iron receptor,2427,0.98739,0.726,
52,1961,Bacillolysin,2457,0.98763,0.73,
52,2290,Growth-inhibiting protein 18,3877,0.95525,0.712,
52,2870,"Glutamate dehydrogenase 1, mitochondrial",201,0.97565,0.706,GLUD1
52,2872,"Ornithine carbamoyltransferase, mitochondrial",336,0.98421,0.704,
52,2874,"Aspartate aminotransferase, mitochondrial",426,0.94879,0.744,GOT2
52,3216,Glutamate receptor 2,921,0.97749,0.706,GRIA2
52,3613,S-adenosylmethionine synthetase isoform type-1,453,0.96224,0.706,
52,3651,"Glutamate receptor, ionotropic kainate 2",918,0.98455,0.704,
52,3797,Triosephosphate isomerase,6346,0.97128,0.722,TPI1
52,3350,Glutamate [NMDA] receptor subunit 3A,706,0.9221,0.702,
52,3284,Gamma-aminobutyric-acid receptor subunit alpha-6,841,0.9741,0.7,
52,3145,Alanine aminotransferase 1,735,0.879912,0.7,GPT
52,3610,Calcium-transporting ATPase type 2C member 1,241,0.869493,0.7,
52,3826,"NAD-dependent malic enzyme, mitochondrial",166,0.825698,0.702,ME2
42,6,Prostaglandin G/H synthase 1,20,0.9546,0.76,PTGS1
42,59,"Succinate semialdehyde dehydrogenase, mitochondrial",170,0.95574,0.712,
42,92,"4-aminobutyrate aminotransferase, mitochondrial",280,0.93586,0.784,
42,111,DNA polymerase (HSV),338,0.90033,0.708,
42,137,Glutamate [NMDA] receptor subunit zeta-1,401,0.91989,0.726,
42,148,Kynureninase,435,0.91563,0.744,KYNU
42,169,Glycine receptor alpha-1 chain,482,0.94857,0.81,
42,202,"Aspartate aminotransferase, cytoplasmic",586,0.85506,0.738,GOT1
42,309,Gamma-aminobutyric acid receptor subunit alpha-1,872,0.83798,0.756,
42,319,Proto-oncogene tyrosine-protein kinase SRC,933,0.93268,0.754,
42,350,"Glycogen phosphorylase, muscle form",1152,0.90504,0.708,PYGM
42,363,Cathepsin D,1243,0.92897,0.74,
42,468,Neutrophil collagenase,2154,0.82669,0.724,MMP8
42,476,Macrophage metalloelastase,2203,0.84272,0.708,MMP12
42,559,Cholinesterase,3923,0.95628,0.744,BCHE
42,568,Xanthine dehydrogenase/oxidase,3947,0.90593,0.72,
42,726,Alcohol dehydrogenase 1B,444,0.86839,0.802,
42,727,Alcohol dehydrogenase 1C,517,0.90579,0.822,ADH1C
42,729,Alcohol dehydrogenase 1A,251,0.81913,0.766,ADH1A
42,730,Arginase-1,315,0.82377,0.712,ARG1
42,735,Catalase,2230,0.88355,0.714,CAT
42,749,Ribonucleoside-diphosphate reductase large subunit,360,0.86279,0.714,RRM1
42,755,Pyruvate kinase isozymes R/L,52,0.90269,0.702,
42,1143,Cytochrome P450-cam,2298,0.88972,0.748,
42,1161,Aspartate aminotransferase,2249,0.91433,0.748,
42,1173,Beta-galactosidase,2592,0.80676,0.736,GLB1
42,1306,Ferrichrome-iron receptor,2427,0.96781,0.742,
42,1309,Histidinol dehydrogenase,3191,0.90929,0.734,
42,1353,Formate acetyltransferase 1,3178,0.85583,0.744,
42,1458,Adenylosuccinate synthetase,2632,0.9397,0.736,
42,1591,Alanine racemase,2453,0.93647,0.736,
42,1620,Gag-Pol polyprotein,2237,0.8935,0.76,
42,1669,D-alanyl-D-alanine carboxypeptidase,2461,0.91373,0.732,
42,1940,Monomeric sarcosine oxidase,2380,0.91309,0.732,
42,1961,Bacillolysin,2457,0.90518,0.772,
