TARGETID,GENENAME,,,Disease Entry, [ICD-11]
T00033,TGFA,TARGETID,T00033,,
T00033,TGFA,TARGNAME,Transforming growth factor alpha (TGFA),,
T00033,TGFA,INDICATI,Phase 1/2,Chronic kidney disease,[ICD-11: GB61]
,#N/A,,,,
T00039,CTGF,TARGETID,T00039,,
T00039,CTGF,TARGNAME,CTGF messenger RNA (CTGF mRNA),,
T00039,CTGF,INDICATI,Phase 2,Fibrosis,[ICD-11: GA14-GC01]
,#N/A,,,,
T00043,#N/A,TARGETID,T00043,,
T00043,#N/A,TARGNAME,HUMAN cyclin G-associated kinase (GAK),,
T00043,#N/A,INDICATI,Phase 3,COVID-19,[ICD-11: 1D6Y]
T00043,#N/A,INDICATI,Approved,Rheumatoid arthritis,[ICD-11: FA20]
,#N/A,,,,
T00099,#N/A,TARGETID,T00099,,
T00099,#N/A,TARGNAME,HUMAN calpain-1/calpain small subunit 1 heterodimer (CAPN1/CAPNS1),,
T00099,#N/A,INDICATI,Phase 2,COVID-19,[ICD-11: 1D6Y]
,#N/A,,,,
T00100,#N/A,TARGETID,T00100,,
T00100,#N/A,TARGNAME,Ubiquitin-activating enzyme (UBA),,
T00100,#N/A,INDICATI,Phase 1,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T00140,ALOX5,TARGETID,T00140,,
T00140,ALOX5,TARGNAME,Arachidonate 5-lipoxygenase (5-LOX),,
T00140,ALOX5,INDICATI,Terminated,Allergic/hypersensitivity disorder,[ICD-11: 4A80-4A8Z]
T00140,ALOX5,INDICATI,Terminated,Arterial occlusive disease,[ICD-11: BD40]
T00140,ALOX5,INDICATI,Approved,Asthma,[ICD-11: CA23]
T00140,ALOX5,INDICATI,Phase 2,Atopic eczema,[ICD-11: EA80]
T00140,ALOX5,INDICATI,Phase 2,Carcinoid syndrome,[ICD-11: 5B10]
T00140,ALOX5,INDICATI,Discontinued in Phase 2,Cardiovascular disease,[ICD-11: BA00-BE2Z]
T00140,ALOX5,INDICATI,Discontinued in Phase 2,Chronic obstructive pulmonary disease,[ICD-11: CA22]
T00140,ALOX5,INDICATI,Discontinued in Phase 2,Eczema,[ICD-11: EA80-EA89]
T00140,ALOX5,INDICATI,Approved,Filariasis,[ICD-11: 1F66]
T00140,ALOX5,INDICATI,Phase 2,Fungal infection,[ICD-11: 1F29-1F2F]
T00140,ALOX5,INDICATI,Phase 2,Idiopathic interstitial pneumonitis,[ICD-11: CB03]
T00140,ALOX5,INDICATI,Phase 2,Influenza,[ICD-11: 1E30-1E32]
T00140,ALOX5,INDICATI,Phase 3,Lung cancer,[ICD-11: 2C25]
T00140,ALOX5,INDICATI,Investigative,Malaria,[ICD-11: 1F40-1F45]
T00140,ALOX5,INDICATI,Investigative,Nasopharyngeal cancer,[ICD-11: 2B6B]
T00140,ALOX5,INDICATI,Discontinued in Phase 1,Osteoarthritis,[ICD-11: FA00-FA05]
T00140,ALOX5,INDICATI,Phase 1,Pain,[ICD-11: MG30-MG3Z]
T00140,ALOX5,INDICATI,Phase 2,Pituitary gland disorder,[ICD-11: 5A60-5A61]
T00140,ALOX5,INDICATI,Phase 3,Postoperative inflammation,[ICD-11: 1A00-CA43]
T00140,ALOX5,INDICATI,Discontinued in Phase 2,Pruritus,[ICD-11: EC90]
T00140,ALOX5,INDICATI,Phase 2,Psoriasis,[ICD-11: EA90]
T00140,ALOX5,INDICATI,Withdrawn from market,Respiratory system disease,[ICD-11: CB40-CB7Z]
T00140,ALOX5,INDICATI,Phase 3,Rheumatoid arthritis,[ICD-11: FA20]
T00140,ALOX5,INDICATI,Phase 2,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
T00140,ALOX5,INDICATI,Phase 4,Thrombocytopenia,[ICD-11: 3B64]
T00140,ALOX5,INDICATI,Discontinued in Phase 2,Thrombosis,[ICD-11: DB61-GB90]
,#N/A,,,,
T00145,#N/A,TARGETID,T00145,,
T00145,#N/A,TARGNAME,HUMAN pH-dependent viral fusion/replication (pH-DVF/R),,
T00145,#N/A,INDICATI,Phase 3,COVID-19,[ICD-11: 1D6Y]
T00145,#N/A,INDICATI,Approved,Malaria,[ICD-11: 1F40-1F45]
T00145,#N/A,INDICATI,Investigative,Middle East Respiratory Syndrome,[ICD-11: 1D64]
T00145,#N/A,INDICATI,Investigative,Severe acute respiratory syndrome,[ICD-11: 1D65]
,#N/A,,,,
T00156,TRPC5,TARGETID,T00156,,
T00156,TRPC5,TARGNAME,Short transient receptor potential channel 5 (TRPC5),,
T00156,TRPC5,INDICATI,Phase 2,Chronic kidney disease,[ICD-11: GB61]
T00156,TRPC5,INDICATI,Phase 2,Depression,[ICD-11: 6A70-6A7Z]
,#N/A,,,,
T00158,#N/A,TARGETID,T00158,,
T00158,#N/A,TARGNAME,HUMAN glycosylation of host receptor (GHR),,
T00158,#N/A,INDICATI,Phase 3,COVID-19,[ICD-11: 1D6Y]
T00158,#N/A,INDICATI,Approved,Malaria,[ICD-11: 1F40-1F45]
T00158,#N/A,INDICATI,Investigative,Middle East Respiratory Syndrome,[ICD-11: 1D64]
T00158,#N/A,INDICATI,Investigative,Severe acute respiratory syndrome,[ICD-11: 1D65]
,#N/A,,,,
T00176,MDM2,TARGETID,T00176,,
T00176,MDM2,TARGNAME,Ubiquitin-protein ligase E3 Mdm2 (MDM2),,
T00176,MDM2,INDICATI,Phase 3,Acute myeloid leukaemia,[ICD-11: 2A60]
T00176,MDM2,INDICATI,Investigative,Breast cancer,[ICD-11: 2C60-2C6Y]
T00176,MDM2,INDICATI,Phase 1,Liposarcoma,[ICD-11: 2B59]
T00176,MDM2,INDICATI,Phase 1,Lung cancer,[ICD-11: 2C25]
T00176,MDM2,INDICATI,Phase 2,Malignant haematopoietic neoplasm,[ICD-11: 2B33]
T00176,MDM2,INDICATI,Phase 2,Mature B-cell leukaemia,[ICD-11: 2A82]
T00176,MDM2,INDICATI,Phase 1,Myelodysplastic syndrome,[ICD-11: 2A37]
T00176,MDM2,INDICATI,Phase 2,Myeloproliferative neoplasm,[ICD-11: 2A20]
T00176,MDM2,INDICATI,Phase 2,Neuroendocrine carcinoma,[ICD-11: 2C34]
T00176,MDM2,INDICATI,Phase 1,Prostate cancer,[ICD-11: 2C82]
T00176,MDM2,INDICATI,Phase 3,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T00216,#N/A,TARGETID,T00216,,
T00216,#N/A,TARGNAME,HUAMN alpha-1 adrenergic receptor (ADRA1),,
T00216,#N/A,INDICATI,Investigative,COVID-19,[ICD-11: 1D6Y]
T00216,#N/A,INDICATI,Approved,Heart failure,[ICD-11: BD10-BD1Z]
,#N/A,,,,
T00238,NFKB2,TARGETID,T00238,,
T00238,NFKB2,TARGNAME,NFKB messenger RNA (NFKB mRNA),,
T00238,NFKB2,INDICATI,Phase 3,Ulcerative colitis,[ICD-11: DD71]
,#N/A,,,,
T00239,IL4,TARGETID,T00239,,
T00239,IL4,TARGNAME,Interleukin-4 (IL4),,
T00239,IL4,INDICATI,Investigative,Allergic/hypersensitivity disorder,[ICD-11: 4A80-4A8Z]
T00239,IL4,INDICATI,Phase 2,Asthma,[ICD-11: CA23]
T00239,IL4,INDICATI,Phase 1,Atopic eczema,[ICD-11: EA80]
T00239,IL4,INDICATI,Phase 2,Idiopathic interstitial pneumonitis,[ICD-11: CB03]
T00239,IL4,INDICATI,Phase 2,Myeloproliferative neoplasm,[ICD-11: 2A20]
T00239,IL4,INDICATI,Phase 3,Pulmonary eosinophilia,[ICD-11: CB02]
T00239,IL4,INDICATI,Phase 2,Systemic sclerosis,[ICD-11: 4A42]
,#N/A,,,,
T00254,NR1D1,TARGETID,T00254,,
T00254,NR1D1,TARGNAME,V-erbA-related protein 1 (NR1D1),,
T00254,NR1D1,INDICATI,Preclinical,Cardiomyopathy,[ICD-11: BC43]
T00254,NR1D1,INDICATI,Preclinical,Postoperative inflammation,[ICD-11: 1A00-CA43]
T00254,NR1D1,INDICATI,Preclinical,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T00259,#N/A,TARGETID,T00259,,
T00259,#N/A,TARGNAME,HUAMN eIF4E-eIF4G interaction (eIF4E-eIF4G),,
T00259,#N/A,INDICATI,Investigative,COVID-19,[ICD-11: 1D6Y]
T00259,#N/A,INDICATI,Investigative,Severe acute respiratory syndrome,[ICD-11: 1D65]
,#N/A,,,,
T00419,TNNC2,TARGETID,T00419,,
T00419,TNNC2,TARGNAME,Fast skeletal muscle troponin complex (TNNC2),,
T00419,TNNC2,INDICATI,Phase 3,Motor neuron disease,[ICD-11: 8B60]
T00419,TNNC2,INDICATI,Phase 2,Muscle disorder,[ICD-11: FB32-FB3Z]
T00419,TNNC2,INDICATI,Phase 2,Muscular atrophy,[ICD-11: 8B61]
,#N/A,,,,
T00420,HIV rev,TARGETID,T00420,,
T00420,HIV rev,TARGNAME,Human immunodeficiency virus Rev protein (HIV rev),,
T00420,HIV rev,INDICATI,Phase 1,Human immunodeficiency virus disease,[ICD-11: 1C60-1C62]
,#N/A,,,,
T00477,SRR,TARGETID,T00477,,
T00477,SRR,TARGNAME,Serine Racemase (SRR),,
T00477,SRR,INDICATI,Investigative,Neurodegenerative disorder,[ICD-11: 8A20-8A23]
,#N/A,,,,
T00484,IL23R,TARGETID,T00484,,
T00484,IL23R,TARGNAME,Interleukin 23 receptor (IL23R),,
T00484,IL23R,INDICATI,Investigative,Diabetes mellitus,[ICD-11: 5A10]
T00484,IL23R,INDICATI,Investigative,Indeterminate colitis,[ICD-11: DD72]
T00484,IL23R,INDICATI,Phase 3,Postoperative inflammation,[ICD-11: 1A00-CA43]
T00484,IL23R,INDICATI,Investigative,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T00494,ABCA1,TARGETID,T00494,,
T00494,ABCA1,TARGNAME,ATP-binding cassette transporter A1 (ABCA1),,
T00494,ABCA1,INDICATI,Approved,Coronary atherosclerosis,[ICD-11: BA80]
T00494,ABCA1,INDICATI,Investigative,Dyslipidemia,[ICD-11: 5C80-5C81]
T00494,ABCA1,INDICATI,Discontinued in Phase 1,Inborn lipid metabolism error,[ICD-11: 5C52]
,#N/A,,,,
T00496,PAWR,TARGETID,T00496,,
T00496,PAWR,TARGNAME,Prostate apoptosis response-4 (PAWR),,
T00496,PAWR,INDICATI,Phase 2,Thrombosis,[ICD-11: DB61-GB90]
,#N/A,,,,
T00523,SLC2A9,TARGETID,T00523,,
T00523,SLC2A9,TARGNAME,Glucose transporter type 9 (GLUT9),,
T00523,SLC2A9,INDICATI,Phase 2,Gout,[ICD-11: FA25]
T00523,SLC2A9,INDICATI,Discontinued in Phase 2,Inborn purine/pyrimidine/nucleotide metabolism error,[ICD-11: 5C55]
,#N/A,,,,
T00663,MAPK10,TARGETID,T00663,,
T00663,MAPK10,TARGNAME,Stress-activated protein kinase JNK3 (JNK3),,
T00663,MAPK10,INDICATI,Investigative,CNS birth injury,[ICD-11: KA40]
,#N/A,,,,
T00749,MAP4K1,TARGETID,T00749,,
T00749,MAP4K1,TARGNAME,MEK kinase kinase 1 (MAP4K1),,
T00749,MAP4K1,INDICATI,Phase 1/2,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T00750,FUT3,TARGETID,T00750,,
T00750,FUT3,TARGNAME,Galactoside 3(4)-L-fucosyltransferase (FUT3),,
T00750,FUT3,INDICATI,Phase 2,Fallopian tube cancer,[ICD-11: 2C74]
,#N/A,,,,
T00852,MAP3K8,TARGETID,T00852,,
T00852,MAP3K8,TARGNAME,Serine/threonine-protein kinase cot (COT),,
T00852,MAP3K8,INDICATI,Phase 1,Indeterminate colitis,[ICD-11: DD72]
,#N/A,,,,
T00884,CXCR1,TARGETID,T00884,,
T00884,CXCR1,TARGNAME,C-X-C chemokine receptor type 1 (CXCR1),,
T00884,CXCR1,INDICATI,Phase 2,Chronic obstructive pulmonary disease,[ICD-11: CA22]
T00884,CXCR1,INDICATI,Withdrawn from market,Gout,[ICD-11: FA25]
T00884,CXCR1,INDICATI,Phase 2,Indeterminate colitis,[ICD-11: DD72]
T00884,CXCR1,INDICATI,Phase 2,Liver vascular disorder,[ICD-11: DB98]
T00884,CXCR1,INDICATI,Phase 2,Medical/surgical procedure injury,[ICD-11: PK80-PK81]
T00884,CXCR1,INDICATI,Phase 1,Melanoma,[ICD-11: 2C30]
T00884,CXCR1,INDICATI,Phase 1,Myelodysplastic syndrome,[ICD-11: 2A37]
T00884,CXCR1,INDICATI,Approved,Pain,[ICD-11: MG30-MG3Z]
T00884,CXCR1,INDICATI,Phase 1,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
T00884,CXCR1,INDICATI,Phase 3,Transplant rejection,[ICD-11: NE84]
T00884,CXCR1,INDICATI,Phase 2,Ulcerative colitis,[ICD-11: DD71]
,#N/A,,,,
T00890,HCAR3,TARGETID,T00890,,
T00890,HCAR3,TARGNAME,Hydroxycarboxylic acid receptor 3 (HCAR3),,
T00890,HCAR3,INDICATI,Phase 2,Cardiovascular disease,[ICD-11: BA00-BE2Z]
T00890,HCAR3,INDICATI,Phase 2,Dyslipidemia,[ICD-11: 5C80-5C81]
T00890,HCAR3,INDICATI,Phase 2,Hyper-lipoproteinaemia,[ICD-11: 5C80]
T00890,HCAR3,INDICATI,Clinical trial,Psoriasis,[ICD-11: EA90]
,#N/A,,,,
T00895,PRKCE,TARGETID,T00895,,
T00895,PRKCE,TARGNAME,Protein kinase C epsilon (PRKCE),,
T00895,PRKCE,INDICATI,Phase 2,Alzheimer disease,[ICD-11: 8A20]
T00895,PRKCE,INDICATI,Approved,Anxiety disorder,[ICD-11: 6B00-6B0Z]
T00895,PRKCE,INDICATI,Discontinued in Phase 1,Liver vascular disorder,[ICD-11: DB98]
T00895,PRKCE,INDICATI,Approved,Malaria,[ICD-11: 1F40-1F45]
T00895,PRKCE,INDICATI,Terminated,Postoperative inflammation,[ICD-11: 1A00-CA43]
,#N/A,,,,
T00902,NTF4,TARGETID,T00902,,
T00902,NTF4,TARGNAME,Neurotrophin-4 (NTF4),,
