Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","P51587","60","GC13P032315","312.022766113281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","P38398","63","GC17M043044","305.533599853516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","224.773025512695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","66","GC11P108223","216.133712768555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"APC","APC Regulator Of WNT Signaling Pathway","Protein Coding","P25054","62","GC05P112707","199.397659301758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC"
"MSH6","MutS Homolog 6","Protein Coding","P52701","62","GC02P047695","189.483352661133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6"
"MSH2","MutS Homolog 2","Protein Coding","P43246","60","GC02P047403","186.434463500977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2"
"CDH1","Cadherin 1","Protein Coding","P12830","62","GC16P068737","185.797348022461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1"
"MLH1","MutL Homolog 1","Protein Coding","P40692","62","GC03P036993","180.37907409668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1"
"PALB2","Partner And Localizer Of BRCA2","Protein Coding","Q86YC2","57","GC16M023603","179.609115600586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALB2"
"CHEK2","Checkpoint Kinase 2","Protein Coding","O96017","67","GC22M028687","171.394958496094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2"
"BRIP1","BRCA1 Interacting Helicase 1","Protein Coding","Q9BX63","62","GC17M061679","162.661605834961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRIP1"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","P54278","62","GC07M005973","161.665817260742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2"
"PKHD1","PKHD1 Ciliary IPT Domain Containing Fibrocystin/Polyductin","Protein Coding","P08F94","51","GC06M097451","155.01530456543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKHD1"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P112611","153.808746337891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","68","GC07P055019","150.953521728516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"NF1","Neurofibromin 1","Protein Coding","P21359","60","GC17P031094","145.456665039063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"BARD1","BRCA1 Associated RING Domain 1","Protein Coding","Q99728","59","GC02M214725","141.612060546875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BARD1"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P08581","67","GC07P116672","141.006256103516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"TSC2","TSC Complex Subunit 2","Protein Coding","P49815","64","GC16P095809","135.662170410156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","Q8N726","64","GC09M021967","132.645446777344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"POLD1","DNA Polymerase Delta 1, Catalytic Subunit","Protein Coding","P28340","59","GC19P123479","131.294876098633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLD1"
"RAD50","RAD50 Double Strand Break Repair Protein","Protein Coding","Q92878","63","GC05P132556","129.579010009766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD50"
"C11orf65","Chromosome 11 Open Reading Frame 65","Protein Coding","Q8NCR3","43","GC11M108308","125.413459777832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C11orf65"
"DICER1","Dicer 1, Ribonuclease III","Protein Coding","Q9UPY3","61","GC14M095086","124.642684936523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1"
"AXIN2","Axin 2","Protein Coding","Q9Y2T1","63","GC17M065528","124.437507629395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXIN2"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","66","GC03P041194","121.955261230469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"STK11","Serine/Threonine Kinase 11","Protein Coding","Q15831","63","GC19P001177","121.652526855469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","66","GC03P179148","120.569778442383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"POLE","DNA Polymerase Epsilon, Catalytic Subunit","Protein Coding","Q07864","60","GC12M132789","120.499740600586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLE"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","O14746","64","GC05M001253","120.214530944824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"RET","Ret Proto-Oncogene","Protein Coding","P07949","67","GC10P044766","118.994041442871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","P01116","66","GC12M031027","118.719779968262","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"SMAD4","SMAD Family Member 4","Protein Coding","Q13485","66","GC18P051028","118.430770874023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
